,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
geno_rep_effs[22],28.258,2.418,23.678,32.745,0.016,0.013,24131.0,21873.0,1.0
geno_rep_effs[23],24.052,2.142,20.037,28.069,0.013,0.012,25290.0,22705.0,1.0
geno_rep_effs[24],24.93,2.185,20.827,29.011,0.015,0.012,22533.0,21724.0,1.0
geno_rep_effs[25],25.043,2.154,20.843,28.952,0.014,0.012,24290.0,22320.0,1.0
geno_rep_effs[26],26.096,2.177,22.003,30.205,0.014,0.012,23122.0,20482.0,1.0
geno_rep_effs[27],24.438,2.159,20.401,28.529,0.014,0.012,23380.0,20293.0,1.0
geno_rep_effs[28],24.175,2.165,20.286,28.392,0.014,0.012,22749.0,21853.0,1.0
geno_rep_effs[29],24.621,2.148,20.646,28.703,0.014,0.012,23618.0,21770.0,1.0
ct_sigma,0.328,0.072,0.196,0.465,0.001,0.0,7585.0,13073.0,1.0
ct_nu,2.763,0.949,1.21,4.506,0.006,0.007,27379.0,24586.0,1.0
right_censored[0],44.071,26.583,37.0,58.299,0.186,6.376,38930.0,18489.0,1.0
right_censored[1],39.434,1.999,37.0,42.832,0.012,0.088,21317.0,17891.0,1.0
right_censored[2],37.727,2.196,37.0,38.967,0.017,0.596,38103.0,21160.0,1.0
right_censored[3],39.277,2.033,37.001,42.562,0.013,0.087,19848.0,18718.0,1.0
right_censored[4],40.05,2.029,37.038,43.521,0.013,0.034,19455.0,15770.0,1.0
right_censored[5],37.951,0.977,37.0,39.371,0.005,0.044,32063.0,19527.0,1.0
